Model,Use_Case,Region,Users,Requests_per_day,Accuracy_pct,Cost_per_1K,Latency_ms,Uptime_pct,Throughput_rps
GPT-3.5-Turbo,Content Creation,Latin America,2775,14563,84.22,0.00775,1221.6,99.17,823.8
Mistral-7B,Translation,Latin America,1573,11351,72.63,0.00226,727.0,99.0,1460.3
Mistral-7B,Question Answering,Asia-Pacific,588,6248,76.99,0.00213,844.5,99.01,1441.5
Gemini-Ultra,Content Creation,North America,783,8223,92.31,0.03997,2593.0,99.16,375.4
Gemini-Ultra,Code Generation,Asia-Pacific,1174,7991,92.79,0.03953,2341.0,99.13,387.1
Claude-3-Sonnet,Chatbot,North America,317,3106,87.08,0.01829,1594.7,99.18,705.0
GPT-4,Content Creation,North America,713,11200,92.64,0.04774,2936.8,99.11,382.2
GPT-3.5-Turbo,Translation,Europe,1553,9787,82.4,0.00704,1234.4,99.13,846.8
GPT-4,Translation,Europe,797,6540,90.8,0.03899,2714.4,99.15,323.1
Gemini-Pro,Code Generation,Middle East,585,8071,85.27,0.01106,1279.5,99.07,864.2
Claude-3-Opus,Data Analysis,North America,158,2230,93.65,0.03999,3031.3,99.09,368.3
Gemini-Ultra,Chatbot,Europe,2445,14946,88.65,0.03444,2399.3,99.09,384.7
Gemini-Pro,Chatbot,Middle East,265,4089,87.45,0.01609,1347.3,99.05,763.6
Claude-3-Opus,Content Creation,Europe,430,2010,93.35,0.03923,2647.7,99.11,322.4
Claude-3-Opus,Translation,Asia-Pacific,1049,5703,90.81,0.03585,2710.2,99.1,444.1
GPT-3.5-Turbo,Code Generation,Middle East,1425,15969,83.65,0.00836,1177.3,99.07,801.5
Llama-3-70B,Translation,Latin America,778,8959,81.8,0.00389,1031.4,99.17,1164.0
Claude-3-Opus,Question Answering,North America,6510,101760,92.65,0.04604,2624.9,99.16,347.4
Mistral-7B,Data Analysis,North America,1346,9725,77.79,0.00138,685.1,98.97,1404.3
Claude-3-Opus,Summarization,Asia-Pacific,182,989,91.72,0.04411,2899.7,99.12,418.8
Mistral-7B,Chatbot,Europe,1109,6093,75.51,0.00276,812.6,99.02,1403.5
Claude-3-Sonnet,Summarization,North America,3816,59477,84.09,0.01771,1438.1,99.1,649.2
Gemini-Pro,Summarization,Europe,11557,84354,87.15,0.01608,1181.6,99.18,797.7
Llama-3-70B,Code Generation,North America,2281,14353,82.83,0.00341,895.3,99.09,1115.4
GPT-4,Data Analysis,Asia-Pacific,1081,9144,94.08,0.04225,2992.6,99.21,354.6
Claude-3-Sonnet,Content Creation,North America,236,3737,89.42,0.01486,1627.1,99.08,693.4
GPT-3.5-Turbo,Summarization,Asia-Pacific,632,3680,83.27,0.00918,990.8,99.14,860.8
Claude-3-Opus,Chatbot,Europe,1330,9420,93.27,0.03852,2793.8,99.12,342.3
Mistral-7B,Question Answering,Europe,3688,42659,77.06,0.00225,682.2,99.0,1481.7
GPT-3.5-Turbo,Code Generation,Asia-Pacific,714,9109,88.6,0.00858,1075.4,99.07,871.0
GPT-3.5-Turbo,Data Analysis,Asia-Pacific,388,6695,81.73,0.00746,1235.5,99.16,944.3
Claude-3-Sonnet,Data Analysis,Asia-Pacific,1475,15753,87.85,0.01906,1416.7,99.16,739.4
Gemini-Ultra,Summarization,Asia-Pacific,3236,53678,90.76,0.03355,2524.3,99.17,392.8
Mistral-7B,Content Creation,Europe,5312,62249,76.45,0.00225,700.7,99.09,1589.0
Mistral-7B,Chatbot,Latin America,701,4241,73.73,0.00203,808.6,98.96,1339.8
Gemini-Ultra,Content Creation,North America,1684,24943,88.02,0.03722,2451.0,99.18,413.6
Mistral-7B,Translation,Asia-Pacific,2235,37087,73.29,0.00195,727.8,99.02,1545.7
Gemini-Pro,Chatbot,North America,2429,30126,80.84,0.00927,1214.0,99.15,859.2
GPT-3.5-Turbo,Translation,Latin America,826,4733,85.87,0.00807,1151.8,99.06,839.3
Claude-3-Opus,Code Generation,Asia-Pacific,7079,88982,92.8,0.04189,2799.3,99.17,317.4
