model,accuracy,latency,cost,leaderboard_score,efficiency,latency_score
llama-3-70b,76.87,618.4,0.00388,0.0,19806.750837413038,0.0016170763233876516
gpt-3.5-turbo,88.39,1264.7,0.00312,0.0,28321.050945209867,0.0007907013514741034
claude-3-opus,90.69,1990.6,0.05148,0.0,1761.6207921369048,0.0005023610969042695
gemini-ultra,89.85,2972.5,0.03577,0.0,2511.8112437449327,0.00033641715716184456
llama-3-70b,76.92,1037.8,0.00519,0.0,14817.954151415912,0.0009635767961422463
gpt-4,92.04,3132.4,0.04094,0.0,2248.1131384187,0.0003192440300347197
claude-3-opus,88.23,2637.8,0.0466,0.0,1893.3070105791721,0.0003791037984763425
claude-3-opus,93.96,2816.5,0.03631,0.0,2587.6456170306515,0.0003550505945836852
gpt-4,96.69,2592.8,0.04189,0.0,2308.1330118641235,0.0003856834308910508
claude-3-sonnet,87.53,1654.8,0.01707,0.0,5127.4090562943,0.0006043026343943059
gpt-4,92.14,2838.7,0.04019,0.0,2292.553059142594,0.00035227392808247655
gemini-pro,78.14,1101.5,0.00985,0.0,7932.18962541874,0.0009078529270014952
claude-3-sonnet,86.9,1762.8,0.01449,0.0,5996.825615899525,0.0005672793280194694
claude-3-sonnet,88.63,1224.7,0.01808,0.0,4901.83065095957,0.0008165264956180888
claude-3-opus,93.07,2868.7,0.02518,0.0,3696.0406655811917,0.00034858995351602125
gemini-pro,84.42,1330.5,0.014,0.0,6029.569316477395,0.0007515971433659547
mistral-7b,79.27,476.5,0.00255,0.0,31074.088592708737,0.0020986358822693897
gemini-pro,83.91,1153.1,0.01469,0.0,5711.660200122524,0.0008672274730142854
claude-3-opus,94.2,3123.3,0.03856,0.0,2442.882705324032,0.00032017417464855305
gemini-ultra,92.11,2424.6,0.02908,0.0,3167.3601320449775,0.00041243916505302356
mistral-7b,74.91,613.0,0.00176,0.0,42538.33049403748,0.0016313213676487416
llama-3-70b,87.25,765.9,0.00314,0.0,27777.777777777777,0.0013056534778617922
claude-3-opus,93.64,2285.9,0.03138,0.0,2983.9711927599506,0.0004374644558215738
claude-3-sonnet,93.0,1776.3,0.0144,0.0,6457.884869106312,0.0005629679668057377
claude-3-sonnet,85.38,1489.0,0.02033,0.0,4199.498303083959,0.0006715916718122285
llama-3-70b,72.04,1046.0,0.00314,0.0,22935.37090098695,0.0009560229436366892
gpt-3.5-turbo,83.95,1000.4,0.01249,0.0,6720.839004082941,0.000999600158936825
gpt-4,91.49,3316.8,0.0417,0.0,2193.9521834008774,0.000301495417178758
gpt-3.5-turbo,83.01,1517.4,0.00951,0.0,8727.788876038274,0.0006590220109008685
gpt-4,95.58,2977.6,0.03879,0.0,2463.9736021242043,0.00033584094561531404
claude-3-opus,90.64,2738.6,0.0324,0.0,2797.444523317182,0.00036515007654818154
gpt-3.5-turbo,76.99,1402.0,0.00591,0.0,13024.86888851294,0.0007132667612601521
gpt-3.5-turbo,81.71,1348.3,0.0069,0.0,11840.312998116215,0.0007416747009258512
gemini-ultra,84.69,2476.3,0.02572,0.0,3292.640255044516,0.00040382829204707496
claude-3-sonnet,86.4,1303.8,0.02407,0.0,3589.381413318931,0.0007669888013752195
claude-3-opus,92.62,3286.4,0.04195,0.0,2207.813878095874,0.0003042843231790761
gemini-ultra,86.57,2828.8,0.0384,0.0,2254.368375823546,0.0003535067872053497
gpt-4,97.65,2565.8,0.05387,0.0,1812.6635852313862,0.00038974199065019017
claude-3-opus,93.62,2994.1,0.04322,0.0,2166.076675690058,0.00033399018057713836
gpt-4,92.28,3047.9,0.04527,0.0,2038.3910229506748,0.00032809475365724113
claude-3-opus,90.82,2386.0,0.03666,0.0,2477.291945118791,0.00041911148347899773
mistral-7b,72.31,565.5,0.00223,0.0,32411.474675033613,0.0017683465928057531
claude-3-sonnet,85.06,1151.6,0.0132,0.0,6443.451253692902,0.000868357067672493
llama-3-70b,85.67,744.5,0.00369,0.0,23210.51205635329,0.0013431833427223865
gpt-4,91.26,3030.1,0.04566,0.0,1998.6421672762315,0.0003300221113725547
gemini-ultra,89.22,2258.5,0.03472,0.0,2569.62645085107,0.00044277175096622904
gpt-4,91.71,2686.0,0.05036,0.0,1821.0520045273126,0.00037230081892319406
gpt-3.5-turbo,83.17,1392.1,0.01122,0.0,7411.995365831923,0.0007183391992541203
claude-3-sonnet,92.72,1455.2,0.01868,0.0,4963.331727423585,0.0006871907636838985
mistral-7b,72.99,780.6,0.00109,0.0,66901.9248395967,0.001281065845143395
claude-3-opus,91.84,2355.0,0.04573,0.0,2008.2657278432573,0.0004246284499258478
gemini-pro,83.33,843.4,0.01211,0.0,6880.521839649906,0.0011856770201734918
llama-3-70b,78.61,878.7,0.00342,0.0,22978.661210172464,0.0011380448376715091
gemini-ultra,88.8,2701.8,0.04036,0.0,2200.1437030797056,0.0003701236211525192
llama-3-70b,81.98,1078.3,0.00491,0.0,16693.137853797598,0.0009273856988524661
gemini-pro,83.33,1023.4,0.01025,0.0,8128.963027997269,0.0009771350391077438
